banner 1x: 270 px differ, max delta 1
banner 2x: 45 px differ, max delta 1
ember 1x: 900 px differ, max delta 1
ember 2x: 4083 px differ, max delta 1
ember 4x: 15677 px differ, max delta 1
claude-fable-5-1 1x: 18 px differ, max delta 1
claude-fable-5-1 2x: 34 px differ, max delta 1
claude-fable-5-1 4x: 89 px differ, max delta 1
claude-opus-5 1x: 58 px differ, max delta 1
claude-opus-5 2x: 157 px differ, max delta 1
claude-opus-5 4x: 423 px differ, max delta 1
fugu-ultra 1x: 7483 px differ, max delta 7
fugu-ultra 2x: 28374 px differ, max delta 7
fugu-ultra 4x: 67064 px differ, max delta 8
gemini-3-1-pro-preview-custom-tools 1x: 26 px differ, max delta 1
gemini-3-1-pro-preview-custom-tools 2x: 53 px differ, max delta 1
gemini-3-1-pro-preview-custom-tools 4x: 121 px differ, max delta 1
gemini-3-1-pro-preview 1x: 43 px differ, max delta 1
gemini-3-1-pro-preview 2x: 177 px differ, max delta 1
gemini-3-1-pro-preview 4x: 626 px differ, max delta 1
gemini-3-7-flash 1x: 33 px differ, max delta 1
gemini-3-7-flash 2x: 106 px differ, max delta 1
gemini-3-7-flash 4x: 356 px differ, max delta 1
gemini-3-8-flash 1x: 66 px differ, max delta 1
gemini-3-8-flash 2x: 131 px differ, max delta 1
gemini-3-8-flash 4x: 233 px differ, max delta 1
glm-5-3-flash 1x: 30 px differ, max delta 1
glm-5-3-flash 2x: 110 px differ, max delta 1
glm-5-3-flash 4x: 242 px differ, max delta 1
glm-5-3 1x: 53 px differ, max delta 1
glm-5-3 2x: 252 px differ, max delta 1
glm-5-3 4x: 849 px differ, max delta 1
glm-5v-turbo 1x: 1360 px differ, max delta 37
glm-5v-turbo 2x: 4118 px differ, max delta 40
glm-5v-turbo 4x: 1256 px differ, max delta 36
gpt-5-2-pro 1x: 9425 px differ, max delta 7
gpt-5-2-pro 2x: 36995 px differ, max delta 8
gpt-5-2-pro 4x: 88084 px differ, max delta 8
gpt-5-6-luna-pro 1x: 128 px differ, max delta 1
gpt-5-6-luna-pro 2x: 444 px differ, max delta 1
gpt-5-6-luna-pro 4x: 975 px differ, max delta 1
gpt-5-6-sol-pro 1x: 16827 px differ, max delta 12
gpt-5-6-sol-pro 2x: 43399 px differ, max delta 11
gpt-5-6-sol-pro 4x: 77696 px differ, max delta 9
gpt-5-6-sol 1x: 17038 px differ, max delta 15
gpt-5-6-sol 2x: 45774 px differ, max delta 17
gpt-5-6-sol 4x: 95554 px differ, max delta 16
gpt-5-6-terra-pro 1x: 9 px differ, max delta 1
gpt-5-6-terra-pro 2x: 47 px differ, max delta 1
gpt-5-6-terra-pro 4x: 182 px differ, max delta 1
gpt-6-astra 1x: 32 px differ, max delta 1
gpt-6-astra 2x: 87 px differ, max delta 1
gpt-6-astra 4x: 235 px differ, max delta 1
grok-4-5 1x: 115 px differ, max delta 1
grok-4-5 2x: 522 px differ, max delta 1
grok-4-5 4x: 967 px differ, max delta 1
kimi-k2-6 1x: 33 px differ, max delta 1
kimi-k2-6 2x: 113 px differ, max delta 1
kimi-k2-6 4x: 160 px differ, max delta 1
kimi-k3 1x: 34050 px differ, max delta 5
kimi-k3 2x: 87228 px differ, max delta 5
kimi-k3 4x: 103467 px differ, max delta 5
muse-spark-1-3-contributor 1x: 22 px differ, max delta 1
muse-spark-1-3-contributor 2x: 105 px differ, max delta 1
muse-spark-1-3-contributor 4x: 72 px differ, max delta 1
muse-spark-1-3 1x: 14 px differ, max delta 1
muse-spark-1-3 2x: 81 px differ, max delta 1
muse-spark-1-3 4x: 79 px differ, max delta 1
nex-n2-pro 1x: 24 px differ, max delta 1
nex-n2-pro 2x: 107 px differ, max delta 1
nex-n2-pro 4x: 446 px differ, max delta 1
ox-alpha 1x: 14 px differ, max delta 1
ox-alpha 2x: 63 px differ, max delta 1
ox-alpha 4x: 185 px differ, max delta 1
qwen3-8-2-4t-a95b 1x: 20 px differ, max delta 1
qwen3-8-2-4t-a95b 2x: 102 px differ, max delta 1
qwen3-8-2-4t-a95b 4x: 255 px differ, max delta 1
qwen3-8-27b 1x: 19 px differ, max delta 1
qwen3-8-27b 2x: 58 px differ, max delta 1
qwen3-8-27b 4x: 118 px differ, max delta 1
