mask-nested-origin-reduction 1x | 0.23% 0.000% | 0.23% 0.000% | same
claude-fable-5-1 1x | 1.44% 0.010% | 1.43% 0.010% | same
claude-fable-5-1 2x | 4.79% 0.659% | 4.76% 0.659% | same
claude-fable-5-1 4x | 7.93% 3.178% | 7.65% 3.161% | better
claude-opus-5 1x | 0.93% 0.000% | 0.93% 0.000% | same
claude-opus-5 2x | 1.85% 0.002% | 1.85% 0.002% | same
claude-opus-5 4x | 2.17% 0.007% | 2.17% 0.007% | same
fugu-ultra 1x | 2.38% 0.023% | 2.39% 0.023% | same
fugu-ultra 2x | 5.57% 0.157% | 5.57% 0.156% | better
fugu-ultra 4x | 5.59% 0.062% | 5.59% 0.062% | same
gemini-3-1-pro-preview-custom-tools 1x | 4.39% 0.026% | 4.13% 0.009% | better
gemini-3-1-pro-preview-custom-tools 2x | 6.99% 0.756% | 5.70% 0.436% | better
gemini-3-1-pro-preview-custom-tools 4x | 12.68% 3.543% | 7.56% 0.813% | better
gemini-3-1-pro-preview 1x | 4.74% 0.136% | 4.63% 0.133% | better
gemini-3-1-pro-preview 2x | 8.91% 0.636% | 8.59% 0.634% | better
gemini-3-1-pro-preview 4x | 8.39% 0.857% | 7.01% 0.680% | better
gemini-3-7-flash 1x | 2.81% 0.035% | 2.81% 0.035% | same
gemini-3-7-flash 2x | 6.77% 0.936% | 6.77% 0.936% | same
gemini-3-7-flash 4x | 8.35% 2.268% | 8.35% 2.268% | same
gemini-3-8-flash 1x | 2.86% 0.245% | 2.90% 0.248% | worse
gemini-3-8-flash 2x | 6.35% 0.224% | 6.36% 0.224% | same
gemini-3-8-flash 4x | 7.03% 0.012% | 7.04% 0.012% | same
glm-5-3-flash 1x | 1.30% 0.003% | 1.30% 0.003% | same
glm-5-3-flash 2x | 2.16% 0.053% | 2.16% 0.051% | better
glm-5-3-flash 4x | 2.95% 0.002% | 2.95% 0.002% | same
glm-5-3 1x | 0.46% 0.000% | 0.46% 0.000% | same
glm-5-3 2x | 0.98% 0.000% | 0.95% 0.000% | same
glm-5-3 4x | 1.13% 0.000% | 1.01% 0.000% | same
glm-5v-turbo 1x | 2.33% 0.675% | 2.33% 0.678% | worse
glm-5v-turbo 2x | 4.80% 2.325% | 4.81% 2.326% | worse
glm-5v-turbo 4x | 2.79% 0.166% | 2.78% 0.166% | same
gpt-5-2-pro 1x | 2.43% 0.397% | 2.43% 0.397% | same
gpt-5-2-pro 2x | 7.77% 3.204% | 7.76% 3.203% | better
gpt-5-2-pro 4x | 21.52% 13.216% | 21.52% 13.215% | better
gpt-5-6-luna-pro 1x | 1.04% 0.000% | 1.04% 0.000% | same
gpt-5-6-luna-pro 2x | 1.76% 0.000% | 1.78% 0.000% | same
gpt-5-6-luna-pro 4x | 1.34% 0.000% | 1.32% 0.000% | same
gpt-5-6-sol-pro 1x | 6.98% 1.349% | 6.98% 1.349% | same
gpt-5-6-sol-pro 2x | 15.53% 5.622% | 15.52% 5.622% | same
gpt-5-6-sol-pro 4x | 19.05% 8.482% | 19.05% 8.482% | same
gpt-5-6-sol 1x | 2.08% 0.006% | 2.08% 0.006% | same
gpt-5-6-sol 2x | 3.96% 0.200% | 3.96% 0.200% | same
gpt-5-6-terra-pro 1x | 2.91% 0.258% | 2.91% 0.258% | same
gpt-5-6-terra-pro 2x | 6.01% 1.860% | 6.01% 1.860% | same
gpt-5-6-terra-pro 4x | 8.50% 4.042% | 8.50% 4.042% | same
gpt-6-astra 1x | 0.84% 0.000% | 0.84% 0.000% | same
gpt-6-astra 2x | 1.55% 0.000% | 1.55% 0.000% | same
gpt-6-astra 4x | 2.23% 0.000% | 2.23% 0.000% | same
grok-4-5 1x | 1.72% 0.000% | 1.80% 0.000% | same
grok-4-5 2x | 2.24% 0.000% | 2.35% 0.000% | same
grok-4-5 4x | 2.43% 0.009% | 1.94% 0.000% | better
kimi-k2-6 1x | 1.09% 0.000% | 1.09% 0.000% | same
kimi-k2-6 2x | 1.87% 0.000% | 1.76% 0.000% | same
kimi-k2-6 4x | 2.23% 0.228% | 2.05% 0.227% | better
kimi-k3 1x | 2.05% 0.005% | 2.05% 0.005% | same
kimi-k3 2x | 4.56% 0.089% | 4.56% 0.089% | same
kimi-k3 4x | 4.91% 0.158% | 4.91% 0.158% | same
muse-spark-1-3-contributor 1x | 1.52% 0.082% | 1.54% 0.082% | same
muse-spark-1-3-contributor 2x | 2.84% 0.003% | 2.86% 0.003% | same
muse-spark-1-3-contributor 4x | 2.21% 0.000% | 2.21% 0.000% | same
muse-spark-1-3 1x | 2.57% 0.635% | 2.60% 0.635% | same
muse-spark-1-3 2x | 9.06% 3.687% | 9.10% 3.686% | better
muse-spark-1-3 4x | 14.13% 8.324% | 14.07% 8.324% | same
nex-n2-pro 1x | 1.42% 0.004% | 1.42% 0.004% | same
nex-n2-pro 2x | 3.20% 0.017% | 3.20% 0.017% | same
nex-n2-pro 4x | 5.21% 0.594% | 5.22% 0.594% | same
ox-alpha 1x | 0.41% 0.000% | 0.42% 0.000% | same
ox-alpha 2x | 0.89% 0.000% | 0.91% 0.000% | same
ox-alpha 4x | 1.46% 0.001% | 1.44% 0.001% | same
qwen3-8-2-4t-a95b 1x | 2.01% 0.030% | 2.02% 0.032% | worse
qwen3-8-2-4t-a95b 2x | 3.75% 0.006% | 3.65% 0.003% | better
qwen3-8-2-4t-a95b 4x | 5.74% 0.570% | 4.61% 0.075% | better
qwen3-8-27b 1x | 0.72% 0.000% | 0.73% 0.000% | same
qwen3-8-27b 2x | 1.09% 0.000% | 1.03% 0.000% | same
qwen3-8-27b 4x | 1.62% 0.028% | 1.31% 0.000% | better
qwen3-8-flash 1x | 1.29% 0.000% | 1.27% 0.000% | same
qwen3-8-flash 2x | 2.45% 0.000% | 2.31% 0.000% | same
qwen3-8-flash 4x | 4.43% 0.378% | 3.54% 0.172% | better
qwen3-8-max 1x | 0.67% 0.000% | 0.67% 0.000% | same
qwen3-8-max 2x | 1.92% 0.002% | 1.92% 0.002% | same
qwen3-8-max 4x | 1.53% 0.028% | 1.49% 0.028% | same
beyond-right 2x | 0.00% 0.000% | 3.65% 2.957% | worse
filter-drop-shadow-overflow-clipped 1x | 5.35% 4.495% | 7.53% 6.903% | worse
filter-drop-shadow-overflow-clipped 2x | 20.87% 19.385% | 19.57% 18.542% | better
84 frames with refs: mean px>8 4.27 -> 4.18, structural 1.124 -> 1.130; better 19, same 59, worse 6
