above-dy0 1x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
above-dy0 2x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
above-dy0 4x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
above-dy16 1x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
above-dy16 2x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
above-dy16 4x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
beyond-bottom 1x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
beyond-bottom 2x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
beyond-bottom 4x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
beyond-right 1x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
beyond-right 2x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
beyond-right 4x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
crossing-top 1x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
crossing-top 2x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
crossing-top 4x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
left-dx16 1x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
left-dx16 2x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
left-dx16 4x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
mask-nested-origin-reduction 1x | old 0.23% 0.000% | new 0.23% 0.000% | no-input-clip 0.23% 0.000%
mask-nested-origin-reduction 2x | old 0.75% 0.000% | new 0.75% 0.000% | no-input-clip 0.75% 0.000%
mask-nested-origin-reduction 4x | old 1.27% 0.000% | new 1.27% 0.000% | no-input-clip 1.27% 0.000%
filter-drop-shadow-overflow-clipped 1x | old 0.84% 0.482% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
filter-drop-shadow-overflow-clipped 2x | old 2.17% 1.686% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
filter-drop-shadow-overflow-clipped 4x | old 0.00% 0.000% | new 0.00% 0.000% | no-input-clip 0.00% 0.000%
kimi-k3 1x | old 2.05% 0.005% | new 2.06% 0.005% | no-input-clip 2.05% 0.005%
kimi-k3 2x | old 2.88% 0.082% | new 2.88% 0.082% | no-input-clip 2.88% 0.082%
kimi-k3 4x | old 2.55% 0.000% | new 2.55% 0.000% | no-input-clip 2.55% 0.000%
gpt-5-2-pro 1x | old 2.43% 0.397% | new 2.43% 0.397% | no-input-clip 2.43% 0.397%
gpt-5-2-pro 2x | old 7.77% 3.204% | new 7.76% 3.203% | no-input-clip 7.76% 3.203%
gpt-5-2-pro 4x | old 21.52% 13.216% | new 21.52% 13.215% | no-input-clip 21.52% 13.215%
