banner 1x: 6070 px differ, max delta 74
banner 2x: 2712 px differ, max delta 72
gemini-3-7-flash 1x: 13483 px differ, max delta 43
gemini-3-7-flash 2x: 40775 px differ, max delta 61
gemini-3-7-flash 4x: 45290 px differ, max delta 29
kit-in-circle 1x: 696 px differ, max delta 2
kit-in-circle 2x: 1847 px differ, max delta 2
kit-in-circle 4x: 1287 px differ, max delta 1
world-cup-widgets-cta 1x: 2275 px differ, max delta 60
world-cup-widgets-cta 2x: 7794 px differ, max delta 63
world-cup-widgets-cta 4x: 7260 px differ, max delta 1
color-burn 1x: 19529 px differ, max delta 254
color-burn 2x: 69637 px differ, max delta 255
color-burn 4x: 119600 px differ, max delta 214
color-dodge 1x: 19529 px differ, max delta 254
color-dodge 2x: 69637 px differ, max delta 255
color-dodge 4x: 119600 px differ, max delta 214
color 1x: 19529 px differ, max delta 254
color 2x: 69637 px differ, max delta 255
color 4x: 119600 px differ, max delta 143
darken 1x: 16482 px differ, max delta 218
darken 2x: 62474 px differ, max delta 219
darken 4x: 119600 px differ, max delta 214
difference 1x: 19649 px differ, max delta 254
difference 2x: 69750 px differ, max delta 255
difference 4x: 119600 px differ, max delta 108
exclusion 1x: 19649 px differ, max delta 254
exclusion 2x: 69750 px differ, max delta 255
exclusion 4x: 119600 px differ, max delta 108
hard-light 1x: 18929 px differ, max delta 65
hard-light 2x: 67813 px differ, max delta 65
hard-light 4x: 117351 px differ, max delta 64
hue 1x: 19529 px differ, max delta 254
hue 2x: 69637 px differ, max delta 255
hue 4x: 119600 px differ, max delta 143
isolation-as-property 1x: 19529 px differ, max delta 254
isolation-as-property 2x: 69637 px differ, max delta 255
isolation-as-property 4x: 119600 px differ, max delta 214
isolation-isolate 1x: 7371 px differ, max delta 2
isolation-isolate 2x: 26673 px differ, max delta 2
isolation-isolate 4x: 42770 px differ, max delta 2
lighten 1x: 14254 px differ, max delta 254
lighten 2x: 49284 px differ, max delta 255
lighten 4x: 76621 px differ, max delta 73
luminosity 1x: 18929 px differ, max delta 226
luminosity 2x: 67842 px differ, max delta 227
luminosity 4x: 117412 px differ, max delta 132
multiply 1x: 16482 px differ, max delta 218
multiply 2x: 62474 px differ, max delta 219
multiply 4x: 119600 px differ, max delta 214
opacity-on-element 1x: 19449 px differ, max delta 127
opacity-on-element 2x: 69543 px differ, max delta 127
opacity-on-element 4x: 119600 px differ, max delta 107
opacity-on-group 1x: 49 px differ, max delta 1
overlay 1x: 19529 px differ, max delta 254
overlay 2x: 69637 px differ, max delta 255
overlay 4x: 119600 px differ, max delta 214
saturation 1x: 19529 px differ, max delta 254
saturation 2x: 69637 px differ, max delta 255
saturation 4x: 119600 px differ, max delta 214
screen 1x: 18594 px differ, max delta 254
screen 2x: 66667 px differ, max delta 255
screen 4x: 113837 px differ, max delta 91
soft-light 1x: 19529 px differ, max delta 254
soft-light 2x: 69637 px differ, max delta 255
soft-light 4x: 119600 px differ, max delta 214
blend-in-clip 1x: 49 px differ, max delta 1
blend-in-mask 1x: 49 px differ, max delta 1
blend-in-opacity-and-clip 1x: 49 px differ, max delta 1
blend-nested 1x: 14449 px differ, max delta 255
blend-nested 2x: 57600 px differ, max delta 255
blend-nested 4x: 119600 px differ, max delta 255
blend-with-clip-on-group 1x: 14445 px differ, max delta 255
blend-with-clip-on-group 2x: 56930 px differ, max delta 255
blend-with-clip-on-group 4x: 119600 px differ, max delta 128
blend-with-filter 1x: 15837 px differ, max delta 255
blend-with-filter 2x: 62891 px differ, max delta 255
blend-with-filter 4x: 119600 px differ, max delta 255
423 frames, 78 differ
100 frames, 0 differ
