above-dy16 1 | 0.62% 0.371% | 0.00% 0.000% | 738/0/788
above-dy16 2 | 0.00% 0.000% | 0.00% 0.000% | 0/0/0
above-dy0 1 | 0.00% 0.000% | 0.00% 0.000% | 0/0/0
above-dy0 2 | 0.00% 0.000% | 0.00% 0.000% | 0/0/0
left-dx16 1 | 1.05% 0.696% | 0.00% 0.000% | 1250/0/1330
left-dx16 2 | 4.34% 3.627% | 0.00% 0.000% | 5188/0/5194
beyond-right 1 | 0.00% 0.000% | 0.00% 0.000% | 1250/1330/1330
beyond-right 2 | 0.00% 0.000% | 0.00% 0.000% | 5188/5192/5194
beyond-bottom 1 | 0.00% 0.000% | 0.00% 0.000% | 886/936/936
beyond-bottom 2 | 0.00% 0.000% | 0.00% 0.000% | 0/0/0
crossing-top 1 | 0.09% 0.012% | 0.00% 0.000% | 4438/4502/4580
crossing-top 2 | 0.52% 0.216% | 0.00% 0.000% | 7574/7332/7582
