banner 1 0.51 0.132  0.14 0.000 
banner 2 0.01 0.000  0.01 0.000 
banner 4 0.00 0.000  0.00 0.000 
fox-with-box-on-cloud 1 1.84 0.001  1.52 0.000 
fox-with-box-on-cloud 2 2.78 0.000  2.53 0.000 
fox-with-box-on-cloud 4 2.18 0.000  2.02 0.000 
fugu-ultra 1 2.27 0.025  2.23 0.018 
fugu-ultra 2 5.18 0.138  5.16 0.135 
fugu-ultra 4 5.00 0.039  4.98 0.040 
gemini-3-1-pro-preview 1 4.66 0.136  4.03 0.008 
gemini-3-1-pro-preview 2 8.88 0.641  7.39 0.102 
gemini-3-1-pro-preview 4 8.03 0.815  8.02 0.814 
gemini-3-7-flash 1 2.25 0.009  1.75 0.001 
gemini-3-7-flash 2 4.56 0.000  3.82 0.000 
gemini-3-7-flash 4 5.24 0.000  4.77 0.000 
glm-5v-turbo 1 1.61 0.022  1.27 0.007 
glm-5v-turbo 2 2.55 0.001  2.24 0.000 
glm-5v-turbo 4 2.35 0.000  2.10 0.000 
google-workspace-48px 1 0.27 0.000  0.22 0.000 
google-workspace-48px 2 0.32 0.000  0.27 0.000 
google-workspace-48px 4 0.18 0.000  0.17 0.000 
gpt-5-2-pro 1 5.61 1.679  5.60 1.681 
gpt-5-2-pro 2 18.94 10.283  18.94 10.271 
gpt-5-2-pro 4 45.88 33.327  45.89 33.293 
gpt-5-6-sol 1 0.72 0.000  0.69 0.000 
gpt-5-6-sol 2 1.31 0.000  1.27 0.000 
gpt-5-6-sol 4 1.56 0.000  1.55 0.000 
gpt-5-6-sol-pro 1 5.95 1.349  5.67 1.345 
gpt-5-6-sol-pro 2 17.47 7.528  17.11 7.543 
gpt-5-6-sol-pro 4 30.43 17.737  30.36 17.738 
kimi-k3 1 1.94 0.006  1.80 0.002 
kimi-k3 2 4.34 0.081  3.95 0.083 
kimi-k3 4 4.37 0.158  4.37 0.156 
kit-in-circle 1 0.51 0.000  0.49 0.000 
kit-in-circle 2 0.81 0.000  0.76 0.000 
kit-in-circle 4 0.83 0.000  0.80 0.000 
nex-n2-pro 1 1.42 0.004  1.05 0.002 
nex-n2-pro 2 3.20 0.017  2.72 0.013 
nex-n2-pro 4 5.21 0.594  5.21 0.595 
qwen3-8-max 1 0.67 0.000  0.59 0.000 
qwen3-8-max 2 1.92 0.001  1.77 0.001 
qwen3-8-max 4 1.54 0.028  1.53 0.028 
thin-fill-crescent 1 0.08 0.000  0.07 0.000 
thin-fill-crescent 2 0.00 0.000  0.00 0.000 
thin-fill-crescent 4 0.00 0.000  0.00 0.000 
world-cup-widgets-cta 1 0.71 0.000  0.61 0.000 
world-cup-widgets-cta 2 1.05 0.000  0.96 0.000 
world-cup-widgets-cta 4 0.47 0.000  0.45 0.000 
zero-area-fill 1 0.80 0.000  0.00 0.000 
zero-area-fill 2 0.87 0.000  0.00 0.000 
zero-area-fill 4 0.43 0.000  0.00 0.000 
