pair | chromium t/r | master_h14 own / vs-chr | feblend17 own / vs-chr | mixblend12 own / vs-chr
blend-clip-path-gradient-difference | 0.00 | 0.00 / 0.99 | 0.00 / 0.99 | 0.00 / 0.99
blend-clip-path-nested-overlay | 0.00 | 0.00 / 0.65 | 0.00 / 0.65 | 0.00 / 0.65
blend-gradient-alpha-screen | 0.00 | 0.00 / 0.00 | 0.00 / 0.00 | 0.00 / 0.00
blend-group-opacity-gradient | 0.00 | 0.00 / 0.01 | 0.00 / 0.01 | 0.00 / 0.01
blend-radial-gradient-multiply | 0.00 | 0.00 / 0.01 | 0.00 / 0.01 | 0.00 / 0.01
blend-scissor-rect-clip | 0.00 | 25.00 / 25.01 | 25.00 / 25.01 | 0.00 / 0.01
feblend-colorspace-linearrgb-multiply | 1.25 | 64.75 / 64.75 | 1.25 / 0.01 | 1.25 / 0.01
feblend-colorspace-linearrgb-screen | 1.25 | 64.75 / 64.75 | 1.25 / 0.00 | 1.25 / 0.00
feblend-colorspace-srgb-multiply | 1.25 | 64.75 / 64.75 | 1.25 / 0.01 | 1.25 / 0.01
feblend-mode-color | 1.25 | 64.75 / 64.75 | 1.25 / 0.01 | 1.25 / 0.01
feblend-mode-color-burn | 1.25 | 64.75 / 64.75 | 1.25 / 0.01 | 1.25 / 0.01
feblend-mode-color-dodge | 1.25 | 64.75 / 64.75 | 1.25 / 0.01 | 1.25 / 0.01
feblend-mode-darken | 1.25 | 0.00 / 1.25 | 1.25 / 0.01 | 1.25 / 0.01
feblend-mode-difference | 1.25 | 64.75 / 64.75 | 1.25 / 0.01 | 1.25 / 0.01
feblend-mode-exclusion | 1.25 | 64.75 / 64.75 | 1.25 / 0.01 | 1.25 / 0.01
feblend-mode-hard-light | 1.25 | 64.75 / 64.75 | 1.25 / 0.01 | 1.25 / 0.01
feblend-mode-hue | 1.25 | 64.75 / 64.75 | 1.25 / 0.01 | 1.25 / 0.01
feblend-mode-lighten | 1.25 | 64.75 / 64.75 | 1.25 / 0.00 | 1.25 / 0.00
feblend-mode-luminosity | 1.25 | 64.75 / 64.75 | 1.25 / 0.01 | 1.25 / 0.01
feblend-mode-multiply | 1.25 | 64.75 / 64.75 | 1.25 / 0.01 | 1.25 / 0.01
feblend-mode-normal | 1.25 | 64.75 / 64.75 | 1.25 / 0.00 | 1.25 / 0.00
feblend-mode-overlay | 1.25 | 64.75 / 64.75 | 1.25 / 0.01 | 1.25 / 0.01
feblend-mode-saturation | 1.25 | 64.75 / 64.75 | 1.25 / 0.01 | 1.25 / 0.01
feblend-mode-screen | 1.25 | 64.75 / 64.75 | 1.25 / 0.00 | 1.25 / 0.00
feblend-mode-soft-light | 1.25 | 64.75 / 64.75 | 1.25 / 0.01 | 1.25 / 0.01
feblend-subregion-input1 | 0.00 | 25.00 / 25.01 | 0.00 / 0.01 | 0.00 / 0.01
feblend-subregion-input2 | 0.00 | 25.00 / 25.01 | 0.00 / 0.01 | 0.00 / 0.01
filter-chain-blur-feblend-sourcealpha | 1.25 | 64.75 / 64.75 | 64.75 / 64.75 | 64.75 / 64.75
filter-chain-colormatrix-feblend-screen | 1.25 | 64.75 / 64.75 | 64.75 / 64.75 | 64.75 / 64.75
filter-chain-colorspace-transition | 1.25 | 64.75 / 64.75 | 1.25 / 0.01 | 1.25 / 0.01
filter-chain-double-feblend | 0.00 | 0.00 / 0.00 | 0.00 / 0.00 | 0.00 / 0.00
filter-chain-offset-blur-feblend | 1.25 | 64.75 / 64.75 | 64.75 / 64.75 | 64.75 / 64.75
filter-layer-mix-blend-filtered | 1.25 | 64.75 / 64.75 | 64.75 / 64.75 | 1.25 / 0.01
filter-subregion-chain-feblend | 1.88 | 64.75 / 64.75 | 64.75 / 64.75 | 64.75 / 64.75
gradient-colorspace-linearrgb-blend | 0.00 | 0.00 / 64.12 | 0.00 / 64.12 | 0.00 / 64.12
gradient-colorspace-srgb-blend | 0.00 | 0.00 / 0.01 | 0.00 / 0.01 | 0.00 / 0.01
mix-blend-color | 0.47 | 36.66 / 36.19 | 36.66 / 36.19 | 0.47 / 0.01
mix-blend-color-burn | 0.47 | 36.66 / 36.66 | 36.66 / 36.66 | 0.47 / 0.01
mix-blend-color-dodge | 0.47 | 36.19 / 36.19 | 36.19 / 36.19 | 0.47 / 0.01
mix-blend-darken | 0.47 | 36.66 / 36.66 | 36.66 / 36.66 | 0.47 / 0.01
mix-blend-difference | 0.47 | 36.66 / 36.66 | 36.66 / 36.66 | 0.47 / 0.01
mix-blend-exclusion | 0.47 | 36.66 / 36.66 | 36.66 / 36.66 | 0.47 / 0.01
mix-blend-hard-light | 0.47 | 36.66 / 36.66 | 36.66 / 36.66 | 0.47 / 0.01
mix-blend-hue | 0.47 | 36.66 / 36.19 | 36.66 / 36.19 | 0.47 / 0.01
mix-blend-lighten | 0.00 | 0.00 / 0.01 | 0.00 / 0.01 | 0.00 / 0.01
mix-blend-luminosity | 0.47 | 36.19 / 36.19 | 36.19 / 36.19 | 0.47 / 0.01
mix-blend-multiply | 0.47 | 36.66 / 36.66 | 36.66 / 36.66 | 0.47 / 0.01
mix-blend-normal | 0.00 | 0.00 / 0.01 | 0.00 / 0.01 | 0.00 / 0.01
mix-blend-overlay | 0.47 | 36.66 / 36.66 | 36.66 / 36.66 | 0.47 / 0.01
mix-blend-saturation | 0.47 | 36.66 / 36.66 | 36.66 / 36.66 | 0.47 / 0.01
mix-blend-screen | 0.47 | 35.72 / 36.19 | 35.72 / 36.19 | 0.47 / 0.01
mix-blend-soft-light | 0.47 | 36.66 / 36.19 | 36.66 / 36.19 | 0.47 / 0.01
