claude-fable-5-1 1x: 372 px differ, max delta 15
claude-fable-5-1 2x: 653 px differ, max delta 14
claude-fable-5-1 4x: 1463 px differ, max delta 12
claude-opus-5 1x: 38 px differ, max delta 2
claude-opus-5 2x: 35 px differ, max delta 1
claude-opus-5 4x: 61 px differ, max delta 1
fugu-ultra 1x: 63 px differ, max delta 2
fugu-ultra 2x: 100 px differ, max delta 1
gemini-3-1-pro-preview-custom-tools 1x: 2562 px differ, max delta 45
gemini-3-1-pro-preview-custom-tools 2x: 2833 px differ, max delta 40
gemini-3-1-pro-preview-custom-tools 4x: 6358 px differ, max delta 47
gemini-3-1-pro-preview 1x: 2176 px differ, max delta 174
gemini-3-1-pro-preview 2x: 2766 px differ, max delta 75
gemini-3-1-pro-preview 4x: 3502 px differ, max delta 25
gemini-3-7-flash 1x: 180 px differ, max delta 6
gemini-3-7-flash 2x: 82 px differ, max delta 4
gemini-3-7-flash 4x: 55 px differ, max delta 1
gemini-3-8-flash 1x: 291 px differ, max delta 28
gemini-3-8-flash 2x: 683 px differ, max delta 41
gemini-3-8-flash 4x: 1026 px differ, max delta 55
glm-5-3-flash 1x: 712 px differ, max delta 4
glm-5-3-flash 2x: 190 px differ, max delta 2
glm-5-3-flash 4x: 308 px differ, max delta 4
glm-5-3 1x: 292 px differ, max delta 6
glm-5-3 2x: 559 px differ, max delta 6
glm-5-3 4x: 1099 px differ, max delta 10
glm-5v-turbo 1x: 221 px differ, max delta 6
glm-5v-turbo 2x: 460 px differ, max delta 6
glm-5v-turbo 4x: 629 px differ, max delta 6
gpt-5-2-pro 1x: 15 px differ, max delta 1
gpt-5-2-pro 2x: 23 px differ, max delta 1
gpt-5-2-pro 4x: 16 px differ, max delta 1
gpt-5-6-luna-pro 1x: 69 px differ, max delta 8
gpt-5-6-luna-pro 2x: 209 px differ, max delta 11
gpt-5-6-luna-pro 4x: 261 px differ, max delta 7
gpt-5-6-sol-pro 1x: 56 px differ, max delta 2
gpt-5-6-sol-pro 2x: 93 px differ, max delta 3
gpt-5-6-sol-pro 4x: 83 px differ, max delta 2
gpt-5-6-sol 1x: 2 px differ, max delta 1
gpt-5-6-terra-pro 1x: 28 px differ, max delta 1
gpt-5-6-terra-pro 2x: 90 px differ, max delta 1
gpt-5-6-terra-pro 4x: 148 px differ, max delta 1
gpt-6-astra 1x: 5 px differ, max delta 1
gpt-6-astra 2x: 2 px differ, max delta 1
grok-4-5 1x: 428 px differ, max delta 25
grok-4-5 2x: 997 px differ, max delta 27
grok-4-5 4x: 3179 px differ, max delta 13
kimi-k2-6 1x: 514 px differ, max delta 17
kimi-k2-6 2x: 1023 px differ, max delta 19
kimi-k2-6 4x: 1223 px differ, max delta 14
kimi-k3 1x: 40 px differ, max delta 1
kimi-k3 2x: 62 px differ, max delta 2
kimi-k3 4x: 59 px differ, max delta 4
muse-spark-1-3-contributor 1x: 245 px differ, max delta 16
muse-spark-1-3-contributor 2x: 350 px differ, max delta 9
muse-spark-1-3-contributor 4x: 190 px differ, max delta 6
muse-spark-1-3 1x: 448 px differ, max delta 44
muse-spark-1-3 2x: 688 px differ, max delta 15
muse-spark-1-3 4x: 1157 px differ, max delta 17
nex-n2-pro 1x: 1605 px differ, max delta 1
nex-n2-pro 2x: 45 px differ, max delta 1
nex-n2-pro 4x: 95 px differ, max delta 1
ox-alpha 1x: 72 px differ, max delta 12
ox-alpha 2x: 189 px differ, max delta 12
ox-alpha 4x: 296 px differ, max delta 12
qwen3-8-2-4t-a95b 1x: 1392 px differ, max delta 35
qwen3-8-2-4t-a95b 2x: 3155 px differ, max delta 29
qwen3-8-2-4t-a95b 4x: 5637 px differ, max delta 32
qwen3-8-27b 1x: 231 px differ, max delta 9
qwen3-8-27b 2x: 444 px differ, max delta 5
qwen3-8-27b 4x: 644 px differ, max delta 2
qwen3-8-flash 1x: 352 px differ, max delta 9
qwen3-8-flash 2x: 772 px differ, max delta 9
qwen3-8-flash 4x: 1031 px differ, max delta 5
qwen3-8-max 1x: 94 px differ, max delta 8
qwen3-8-max 2x: 222 px differ, max delta 9
qwen3-8-max 4x: 526 px differ, max delta 8
552 frames, 77 differ
