zero-area-fill 1 | 0.80% 0.000% | 0.00% 0.000% 
zero-area-fill 2 | 0.87% 0.000% | 0.00% 0.000% 
zero-area-fill 4 | 0.43% 0.000% | 0.00% 0.000% 
zero-area-fill 1840x1040 | 0.13% 0.000% | 0.00% 0.000% 
qwen3-8-max 1 | 0.67% 0.000% | 0.62% 0.000% 
qwen3-8-max 2 | 1.92% 0.001% | 1.80% 0.001% 
qwen3-8-max 4 | 1.54% 0.028% | 1.54% 0.028% 
qwen3-8-max 1840x1040 | 0.34% 0.000% | 0.32% 0.000% 
gemini-3-1-pro-preview 1 | 4.66% 0.136% | 4.39% 0.127% 
gemini-3-1-pro-preview 2 | 8.88% 0.641% | 8.30% 0.641% 
gemini-3-1-pro-preview 4 | 8.03% 0.815% | 8.03% 0.815% 
gemini-3-1-pro-preview 1840x1040 | 4.12% 2.073% | 4.12% 2.071% 
kimi-k3 1 | 2.04% 0.005% | 1.88% 0.002% 
kimi-k3 2 | 4.56% 0.089% | 4.18% 0.087% 
kimi-k3 4 | 4.90% 0.158% | 4.87% 0.158% 
kimi-k3 1840x1040 | 0.60% 0.046% | 0.60% 0.046% 
