gemini-3-7-flash 1 | 2.80% 0.035% | 2.69% 0.035% 
gemini-3-7-flash 2 | 6.57% 0.936% | 6.31% 0.936% 
gemini-3-7-flash 4 | 8.60% 2.268% | 8.37% 2.268% 
gpt-5-6-sol-pro 1 | 8.43% 1.685% | 8.18% 1.684% 
gpt-5-6-sol-pro 2 | 20.63% 8.362% | 20.27% 8.362% 
gpt-5-6-sol-pro 4 | 31.81% 18.268% | 31.73% 18.265% 
nex-n2-pro 1 | 1.42% 0.004% | 1.14% 0.002% 
nex-n2-pro 2 | 3.20% 0.017% | 2.79% 0.013% 
nex-n2-pro 4 | 5.21% 0.594% | 5.21% 0.594% 
fox-with-box-on-cloud 1 | 1.84% 0.001% | 1.84% 0.001% 
fox-with-box-on-cloud 2 | 2.78% 0.000% | 2.78% 0.000% 
fox-with-box-on-cloud 4 | 2.18% 0.000% | 2.18% 0.000% 
world-cup-widgets-cta 1 | 0.84% 0.054% | 0.84% 0.054% 
world-cup-widgets-cta 2 | 1.15% 0.037% | 1.16% 0.037% 
world-cup-widgets-cta 4 | 0.47% 0.000% | 0.47% 0.000% 
